entity_id,label,category
Reg0008290,Helsingør,City
Reg0019620,Slagelse,City
Reg0010590,Korsør,City
Reg0002340,Bordeaux,City
Reg0007040,Garonne,River
Reg0007780,Göttingen,City
Reg0007940,Hamburg,City
Reg0010180,Kiel,City
Reg0013610,Moskva,City
Reg0013960,Narva,City
Reg0018460,Sankt Petersborg,City
Reg0009560,Italien,Country
Reg0019900,Sorø,City
Reg0014510,Norge,Country
Reg0019520,Skelskør,City
Reg0010880,København,City
Reg0015130,Ordrup Kro,Property
Reg0017580,Roskilde Kro,Property
Reg0014830,Odense,City
Reg0017570,Roskilde,City
Reg0010610,Krebshuset Kro,Property
Reg0006800,Fyn,Island
Reg0002670,Bregninge Kirke,Church
Reg0003950,Christiansminde,Region
Reg0009060,Hvidkilde,Property
Reg0009270,Iholm,Island
Reg0012320,Maegaard,Property
Reg0018420,Sankt Jørgens Gaard (ved Svendborg),Property
Reg0020370,Strandhuse (ved Svendborg),Point of interest (POI)
Reg0020580,Svendborg,City
Reg0020590,Svendborg Sund,Sea
Reg0022030,Taasinge (Thorseng),Island
Reg0024010,Ærø,Island
Reg0002830,Broholm,Property
Reg0021340,Thurø,Island
Reg0006090,Falster,Island
Reg0008840,Holsten,Region
Reg0013840,Møen,Island
Reg0021720,Trave,River
Reg0021730,Travemünde,City
Reg0000360,Alsteren,River
Reg0005460,Elben,River
Reg0008000,Hannover,City
Reg0012090,Lübeck,City
Reg0018930,Schönberg (Mecklenburg),City
Reg0023260,Wandsbeck,Region
Reg0000380,Altona,City
Reg0002620,Braunschweig,City
Reg0005040,Dresden,City
Reg0015310,Ottensen,City
Reg0016440,Prag,City
Reg0016590,Pöseldorf,Region
Reg0001800,Bergedorf,Region
Reg0002020,Bille,River
Reg0004570,Danmark,Country
Reg0022880,Vierlandene,Region
Reg0012110,Lüneburg,City
Reg0012120,Lüneburger Heide,Region
Reg0023600,Winsen,City
Reg0023820,Ülzen,City
Reg0024180,Aachen,City
Reg0011320,Leipzig,City
Reg0002820,Brocken (Bloksbjerg),Mountain
Reg0008060,Harzen,Region
Reg0001580,Beinum,City
Reg0002090,Blankenburg,City
Reg0007430,Goslar,City
Reg0009340,Immendorf,City
Reg0016760,Rammelsberg,Mountain
Reg0018210,Salzgitter,City
Reg0018360,Sankt Croix (Vestindien),Island
Reg0008050,Harzburg,Property
Reg0014930,Okertal,Region
Reg0005190,Eckerkrug,Point of interest (POI)
Reg0009310,Ilse,River
Reg0009320,Ilsenstein,Point of interest (POI)
Reg0009330,Ilsethal,Region
Reg0021970,Tyrol,Region
Reg0012340,Magdeburg,City
Reg0001460,Baumannshöhle,Point of interest (POI)
Reg0005480,Elbingerode,City
Reg0009590,Jacobsbruch,Region
Reg0017790,Rübeland,City
Reg0001990,Bielshöhle,Point of interest (POI)
Reg0016610,Quedlinburg,City
Reg0015250,Osterode (Harzen),City
Reg0017600,Rosstrappe,Point of interest (POI)
Reg0021150,Teufelsmauer,Mountain
Reg0002110,Blechhütte,Point of interest (POI)
Reg0002180,Bode,River
Reg0000220,Alexisbad,City
Reg0001830,Berlin,City
Reg0007150,Gernrode,City
Reg0008070,Harzgerode,City
Reg0009630,Jena,City
Reg0013810,Mägdesprung,City
Reg0005390,Eisleben,City
Reg0010340,Kloster-Mansfeld,Region
Reg0010920,Königerode,City
Reg0011310,Leimbach,City
Reg0012500,Mansfeld,City
Reg0007860,Halle,City
Reg0020850,Saale,River
Reg0003900,Christiania,City
Reg0012980,Merseburg,City
Reg0002730,Breslau,City
Reg0010050,Kassel,City
Reg0012910,Meissen,City
Reg0015200,Oschatz,City
Reg0003790,Charlottenlund,City
Reg0016130,Plauenscher Grund (ved Dresden),Region
Reg0012200,Lützen,City
Reg0002450,Boston,City
Reg0011480,Liebethaler Grund,Mountain
Reg0011770,Lohmen,City
Reg0016010,Pillnitz,Property
