01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	RegistryTitelID
standardpost	False	NovelsPlaysTales	Aaen og Havet		Thomas Lange				True		Reg000129
standardpost	False	NovelsPlaysTales	Abdallah eller Firkløveret		E. Laboulaye				True		Reg000135
standardpost	False	NovelsPlaysTales	Die Abderiten		C. M. Wieland				True		Reg000869
standardpost	False	NovelsPlaysTales	Die Adoptivtochter		Karoline von Göhren Ͻ: Karoline von Zöllner				True		Reg000870
standardpost	False	NovelsPlaysTales	Alice		Edward Bulwer				True		Reg000191
standardpost	False	NovelsPlaysTales	Anna-Capri		L. Kruse				True		Reg000232
standardpost	False	NovelsPlaysTales	Araberen i Constantinopel		B. S. Ingemann				True		Reg000257
standardpost	False	NovelsPlaysTales	Arne		Bj. Bjørnson				True		Reg000264
krydshenvisning	False	NovelsPlaysTales	Aschenbrödel					Asschepoester	True		Reg000267
standardpost	False	NovelsPlaysTales	Asschepoester		J. P. Heye				True		Reg000269
standardpost	False	NovelsPlaysTales	Avromche Nattergal		M. Goldschmidt				True		Reg000284
krydshenvisning	False	NovelsPlaysTales	Banditten					Pietro Mancino, der Bandit	True		Reg000305
standardpost	False	NovelsPlaysTales	Barfüssele		B. Auerbach				True		Reg000311
standardpost	False	NovelsPlaysTales	Berlin wie es ist und - trinkt, 1. Hefte: Eckensteher		Ad. Glassbrenner				True		Reg000333
krydshenvisning	False	NovelsPlaysTales	Berliner Eckensteher					Berlin wie es ist und - trinkt	True		Reg000336
standardpost	False	NovelsPlaysTales	Bertha Coppier		J. I. D. Nepveu				True		Reg000341
standardpost	False	NovelsPlaysTales	Bilder aus dem Leben		Julie Burow				True		Reg000355
standardpost	False	NovelsPlaysTales	Bleak House		Charles Dickens				True		Reg000365
standardpost	False	NovelsPlaysTales	Den blege Ridder		A. Oehlenschlæger				True		Reg000687
standardpost	False	NovelsPlaysTales	Bondeliv		Anton Nielsen				True		Reg000375
standardpost	False	NovelsPlaysTales	Breve fra Helvede, udgivne af M. Rowel		Valdemar Thisted				True		Reg000391
standardpost	False	NovelsPlaysTales	The Bride of Larmmermoor		W. Scott				True		Reg003203
standardpost	False	NovelsPlaysTales	Broget Selskab		Carit Etlar				True		Reg000397
standardpost	False	NovelsPlaysTales	The Brownies and other tales		Juliana Horatia Ewing				True		Reg003204
standardpost	False	NovelsPlaysTales	Bruden fra Rørvig		Vilh. Bergsøe				True		Reg000403
standardpost	False	NovelsPlaysTales	Brude-Slaatten		Bj. Bjørnson				True		Reg000399
krydshenvisning	False	NovelsPlaysTales	Brændehuggeren og hans Kone					Den nysgjerrige Kone	True		Reg000414
standardpost	False	NovelsPlaysTales	Das Buch Le Grand		H. Heine				True		Reg000588
standardpost	False	NovelsPlaysTales	Bug-Jargal		V. Hugo				True		Reg000417
standardpost	False	NovelsPlaysTales	Børnehistorier		J. Krohn				True		Reg000427
krydshenvisning	False	NovelsPlaysTales	Cendrillon					Asschepoester	True		Reg000462
standardpost	False	NovelsPlaysTales	Christian Wohlgemuth		Karoline von Göhren Ͻ: Karoline von Zöllner				True		Reg000494
