breve_pid,breve_name,breve_birth,breve_death,breve_hjemland,letters_with_hca,candidate_hca_rids,candidate_hca_labels,reason
1114,Henriette Wulff,1804,1858,Danmark,568,Reg0130480; Reg0130500; Reg0130510; Reg0130520; Reg0130530,"Wulff, se også: Wolf, Wolff.; Wulff, Antoinette Christiane, f. Birch (1823–1892); Wulff, Carl (1840–1888); Wulff, Christian (1777–1843); Wulff, Christian (1810–1856)",no HCA candidate with this birth year
404,Henriette Hanck,1807,1846,Danmark,244,Reg0065660; Reg0065670; Reg0065700; Reg0065710,"Hanck, Madam; Hanck, Caroline (1816–1901); Hanck, J. H. T. (1776–1840); Hanck, Madseline, f. Iversen (1788–1851)",no HCA candidate with this birth year
494,Mimi Holstein-Holsteinborg,1830,1876,Danmark,166,Reg0072110; Reg0072270,"Holstein (-Holsteinborg), Christian Christoph, Greve (1856–1924); Holstein-Holsteinborg, Ludvig, Lensgreve (1815–1892)",no HCA candidate with this birth year
302,"Carolina, Lina von Eisendecher",1821,1875,Tyskland,104,Reg0055160; Reg0055170; Reg0055180,"Eisendecher, Christa von (1852–1940); Eisendecher, Gustave von (1842–1914); Eisendecher, Wilhelm von (1803–1880)",no HCA candidate with this birth year
708,Louise Melchior,1848,15-1,Danmark,38,Reg0090620; Reg0090630; Reg0090780,"Melchior, Johanne (1848–1911); Melchior, Louise (1848–1933); Melchior, Thea (1848–1928)",multiple HCA candidates share this surname+birth year
585,Hans Henrik (Henni) Koch,1836,1922,Danmark,38,Reg0079470; Reg0079480; Reg0079490; Reg0079500; Reg0079510,"Koch, G. G. (1737–1813); Koch, Christine Sophie, f. Møller (1830–1914); Koch, E. F. (1835–1911); Koch, Ellen (1862–1892); Koch, Fro Mathilde, f. Friis (1819–1905)",no HCA candidate with this birth year
180,Anne S Bushby,,1875,England,36,Reg0044550; Reg0044560,"Bushby, Mr.; Bushby, Mrs. Anne S. (død 1875)",no birth year in breve-data
341,Lorenz Frölich,1820,1908,Danmark,32,Reg0059920,"Frölich, Anna Christina (1773–1850)",no HCA candidate with this birth year
35,Anne Marie Andersdatter,,1833,Danmark,31,Reg0031760,"Andersdatter, Anne Marie (død 1833)",no birth year in breve-data
924,Rudolf Schmidt,1836,1899,Danmark,30,Reg0112840; Reg0112870,"Schmidt, Rudolph (1836–1899); Schmidt, Valdemar (1836–1925)",multiple HCA candidates share this surname+birth year
542,William Jerdan,1782,1869,England,25,Reg0075790; Reg0075800,"Jerdan, Mrs.; Jerdan, William (1728–1869)",no HCA candidate with this birth year
748,Ludwig Müller,1809,1891,Danmark,21,Reg0094380; Reg0094480,"Müller, Ludvig (1809–1891); Müller, Thorvald (1809–1879)",multiple HCA candidates share this surname+birth year
1025,Albert Thorvaldsen,1768,1844,Danmark,21,Reg0122090,"Thorvaldsen, Bertel (ca. 1770–1844)",no HCA candidate with this birth year
556,Jules Jürgensen,1808,1877,Schweiz,21,Reg0076920; Reg0076990,"Jürgensen, Anastasie, f. Lavalette (1808–1877); Jürgensen, Jules (1808–1877)",multiple HCA candidates share this surname+birth year
536,H. Jacobsen,1797,1877,Tyskland,15,Reg0075030; Reg0075040; Reg0075050; Reg0075060; Reg0075070,"Jacobsen, Frk., Teglgaarden 1872, se: Jacob.; Jacobsen, Andreas (1801–1870); Jacobsen, Camilla (død 1878, 68 år gl.); Jacobsen, Carl (1842–1914); Jacobsen, David (1821–1871)",no HCA candidate with this birth year
808,Frederik (Frits) Petit,1809,1854,Danmark,14,Reg0100580; Reg0100600; Reg0100610; Reg0100620; Reg0100630,"Petit, Charles (1811–1885); Petit, Henriette (1815–1912); Petit, Henry (1866–?); Petit, Mathilde, f. Meyer (1827–?); Petit, Sophus, f. Buchholz (1803–1863)",no HCA candidate with this birth year
140,Henriette (Henny) Brandis,1819,1874,Danmark,13,Reg0041570; Reg0041590; Reg0041600,"Brandis, Dietrich (1821–1849); Brandis, Jane, f. Markoe (1791–1865); Brandis, Joachim Dietrich (1762–1845)",no HCA candidate with this birth year
19635,Reitzel,,,,13,Reg0105120; Reg0105130; Reg0105140; Reg0105150; Reg0105160,"Reitzel, Augusta (1821–1903); Reitzel, Augusta Dorothea, f. Jøhnke (1835–1889); Reitzel, C. A. (1789–1853); Reitzel, Carl (1833–1911); Reitzel, Carl Andreas (1860–1921)",no birth year in breve-data
117,William Edw. Bloch,1845,01-1,Danmark,13,Reg0039370; Reg0039520,"Bloch, Alma, f. Trepka (1845–1886); Bloch, William (1845–1926)",multiple HCA candidates share this surname+birth year
787,Johanne Marie Ortved,1798,1876,Danmark,12,Reg0098360; Reg0098370,"Ortved, Amalie Dorothea Henriette, f. Schwanenflügel (1811–1890); Ortved, Emil Ludvig Sophus (1844–?)",no HCA candidate with this birth year
