hca_rid,hca_label,breve_pid,breve_name,breve_birth,breve_death,breve_hjemland,letters_with_hca,match_method,notes
Reg0048570,"Collin, Edvard (1808–1886)",218,Edvard Collin,1808,1886,Danmark,690,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0090490,"Melchior, Dorothea, f. Henriques (1823–1885)",701,Dorothea Melchior,1823,1885,Danmark,411,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0074580,"Ingemann, Bernhard Severin (1789–1862)",529,Bernhard Severin Ingemann,1789,1862,Danmark,396,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0087370,"Læssøe, Signe, f. Abrahamson (1781–1870)",671,Signe Læssøe,1781,1870,Danmark,187,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0079560,"Koch, Ida, f. Wulff (1806–1876)",586,Ida Koch,1806,1876,Danmark,137,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0131970,"Ørsted, Mathilde (1824–1906)",1128,Mathilde Ørsted,1824,1906,Danmark,137,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0085740,"Lorck, Carl B. (1814–1905)",652,Carl B Lorck,1814,1905,Danmark,136,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0048700,"Collin, Jonas d.Y. (1840–1905)",223,Jonas Collin,1840,1905,Danmark,135,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0130530,"Wulff, Christian (1810–1856)",20022,Christian Wulff,1810,1856,Danmark,97,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0114630,"Scudder, Horace E. (1838–1902)",946,Horace  E. Scudder,1838,1902,USA,96,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0067310,"Hartmann, J. P. E. (1805–1900)",424,I. P. E. Hartmann,1805,1900,Danmark,92,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0036620,"Bentley, Richard (1794–1871)",85,Richard Bentley,1794,1871,England,91,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0053360,"Drewsen, Adolph (1803–1885)",278,Adolph Drewsen,1803,1885,Danmark,88,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0037700,"Beskow, Bernhard von, Friherre (1796–1868)",92,Bernhard von Beskow,1796,1868,Sverige,82,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0069470,"Henriques, Martin R. (1825–1912)",456,Martin Henriques,1825,1912,Danmark,81,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0040930,"Bournonville, August (1805–1879)",130,August Bournonville,1805,1879,Danmark,79,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0090690,"Melchior, Moritz G. (1816–1884)",709,Moritz Gerson Melchior,1816,1884,Danmark,79,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0074180,"Høegh-Guldberg, Christian (1777–1867)",521,Chr. Høegh-Guldberg,1777,1867,Danmark,71,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0042200,"Bremer, Fredrika (1801–1865)",151,Fredrika Bremer,1801,1865,Sverige,70,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0105190,"Reitzel, Theodor (1828–1906)",857,Theodor Reitzel,1828,1906,Danmark,70,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0068360,"Heiberg, Johan Ludvig (1791–1860)",440,Johan Ludvig Heiberg,1791,1860,Danmark,66,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0127230,"Watt, Robert (1837–1894)",1067,Robert Watt,1837,1894,Danmark,65,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0035480,"Beaulieu-Marconnay, Carl Olivier von, Friherre (1811–1889)",77,Carl Olivier von Beaulieu-Marconnay,1811,1889,Tyskland,53,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0131930,"Ørsted, Hans Christian (1777–1851)",1126,Hans Christian Ørsted,1777,1851,Danmark,52,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0039030,"Bjørnson, Bjørnstjeme (1832–1910)",111,Bjørnstjerne Bjørnson,1832,16-0,Norge,52,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0045080,"Bøgh, Nicolai (1843–1905)",189,Nicolaj Bøgh,1843,13-1,Danmark,51,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0121650,"Thiele, Just Mathias (1795–1874)",19638,Just Mathias Thiele,1795,1874,Danmark,47,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0067640,"Hauch, Carsten (1790–1872)",431,Carsten Hauch,1790,1872,Danmark,46,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0040280,"Boner, Charles (1815–1870)",124,Charles Boner,1815,1870,England,46,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0071990,"Holst, H. P. (1811–1893)",483,Hans Peter Holst,1811,1893,Danmark,42,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0075870,"Jerichau-Baumann, Elisabeth, f. Baumann (1819–1881)",544,Elisabeth Jerichau-Baumann,1819,1881,Danmark,41,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0104090,"Rantzau-Breitenburg, Conrad, Rigsgreve (1773–1845)",841,Conrad Rantzau-Breitenburg,1773,1845,Tyskland,41,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0038130,"Bille, C. St. A. (1828–1898)",100,Carl Steen Andersen Bille,1828,1898,Danmark,41,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0055460,"Engelstoft, C. T. (1805–1889)",307,Chr. Thorning Engelstoft,1805,1889,Danmark,41,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0052440,"Dickens, Charles (1812–1870)",265,Charles Dickens,1812,1870,England,39,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0092240,"Molbech, C. (1783–1857)",19903,C. Molbech,1783,1857,Danmark,37,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0097520,"Oksen, Erik Lassen (1849–1924)",781,Erik Lassen Oksen,1849,1924,Danmark,36,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0131180,"Zeise, Heinrich (1822–1914)",1120,Heinrich Zeise,1822,1914,Tyskland,35,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0068680,"Heinke, Clara (1825–1892)",444,Clara Heinke,1825,1892,Tyskland,34,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0039390,"Bloch, Carl (1834–1890)",116,Carl Bloch,1834,1890,Danmark,32,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0060470,"Gade, Niels W. (1817–1890)",346,Niels W. Gade,1817,1890,Danmark,31,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0072990,"Hornemann, Emil (1810–1890)",500,Emil Hornemann,1810,1890,Danmark,29,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0048560,"Collin, Edgar (1836–1906)",217,Edgar Collin,1836,1906,Danmark,28,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0112400,"Schley, Ludolph (1798–1859)",919,Ludolph Schley,1798,1859,Danmark,27,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0049570,"Cronholm, Bernhard (1813–1871)",234,Bernhard Aug. Cronholm,1813,1871,Danmark-Sverige,27,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0129670,"Winther, Christian (1796–1876)",1097,Christian Winther,1796,1876,Danmark,26,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0051760,"Decken, Wilhelmine von der, f. Brauns (1783–1858)",254,Wilhelmine von der Decken,1783,1858,Tyskland,24,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0127370,"Weber, Matthias (1850–1933)",1069,Mathias Weber,1850,1933,Danmark,24,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0131900,"Ørsted, Birgitte, f. Ballum (1789–1875)",1127,"Birgitte, f. Ballum Ørsted",1789,1875,Danmark,23,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0093060,"Moltke-Hvitfeldt, Gebhard, Greve (1764–1851)",737,Gebhard Moltke-Hvitfeldt,1764,1851,Danmark,23,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0045060,"Bøgh, Frederik (1836–1882)",188,Frederik Bøgh,1836,1882,Danmark,23,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0090460,"Melchior, Carl H. (1855–1931)",699,Carl Melchior,1855,1931,Danmark,23,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0069920,"Hertz, Henrik (1798–1870)",464,Henrik Hertz,1798,1870,Danmark,22,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0033160,"Atterbom, P. D. A. (1790–1855)",49,Per Daniel Amadeus Atterbom,1790,1855,Sverige,22,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0117600,"Stampe, Henrik, Baron (1821–1892)",980,Henrik Stampe,1821,1892,Danmark,22,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0073380,"Howitt, Mary, f. Botham (1799–1888)",508,Mary Howitt,1799,1888,England,22,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0085850,"Lorenzen, C. (1807–1859)",653,C H Lorenzen,1807,1859,Danmark,21,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0128780,"Wiedemann, L. (1824–1893)",1086,L. Wiedemann,1824,1893,Tyskland,21,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0090420,"Melchior, Anna (1853–1881)",698,Anna Melchior,1853,1881,Danmark,21,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0094430,"Müller, Otto (1807–1882)",749,Otto Frederik Müller,1807,1882,Danmark,20,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0095130,"Møller, P. L. (1814–1865)",756,Peder Ludvig Møller,1814,1865,Danmark,20,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0031570,"Amberger, Gustav Adolph (1831–1896)",30,Gustav Adolf Amberger,1831,1896,Tyskland,20,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0087330,"Læssøe, Ludvig (1808–1878)",670,Ludvig Læssøe,1808,1878,Danmark,19,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
Reg0125910,"Voigt, Christian (1809–1888)",1056,Christian Voigt,1809,1888,Danmark,19,"surname+birth_year (auto, single candidate)",NOT individually human-verified -- candidate for review before use as an authority mapping
